step,loss,val_loss,lr,grad_norm,dt_ms,tok_per_sec
0,10.912724,10.915771,0.000300,2.780410,3244.042698,20201.953581
1,10.462298,-1.000000,0.000600,2.369629,1667.813840,39294.553402
2,10.070940,-1.000000,0.000600,1.932642,1650.877760,39697.669681
3,9.863602,-1.000000,0.000596,1.747494,1649.290517,39735.873895
4,9.650370,-1.000000,0.000584,1.712849,1664.842159,39364.692710
5,9.445026,-1.000000,0.000564,1.743110,1665.318586,39353.430960
6,9.228694,-1.000000,0.000537,1.691805,1649.880228,39721.671239
7,9.067318,-1.000000,0.000504,1.641690,1651.915190,39672.738889
8,8.934623,-1.000000,0.000465,1.592603,1650.434917,39708.321319
9,8.739177,-1.000000,0.000422,1.600774,1658.569963,39513.557741
10,8.648456,-1.000000,0.000377,1.557066,1649.940899,39720.210609
11,8.690579,-1.000000,0.000330,1.432039,1647.352447,39782.622182
12,8.458421,-1.000000,0.000283,1.509295,1649.657846,39727.025916
13,8.314792,-1.000000,0.000238,1.540227,1648.358072,39758.351728
14,8.249084,-1.000000,0.000195,1.513553,1650.890541,39697.362346
15,8.320748,-1.000000,0.000156,1.392614,1665.662761,39345.299381
16,8.186419,-1.000000,0.000123,1.368866,1662.160464,39428.202884
17,8.172553,-1.000000,0.000096,1.427483,1656.099602,39572.499094
18,8.089985,-1.000000,0.000076,1.431688,1944.780090,33698.411629
19,8.186974,8.126838,0.000064,1.410146,2952.757489,22194.846764
